"design","allocation_id","depth","target_library_size","median_library_size","taxon","target_set","method","component","available","reason","p_value","estimate","q_value","significant","d6300_comparison_cells"
"null",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.234715873633519,,0.908665277921188,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","ZINQ prevalence","prevalence",TRUE,"available",0.478961829115574,,0.908665277921188,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Bacillus_subtilis","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.52110220345845,,0.955354039673824,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Enterococcus_faecalis","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.770543797801937,,0.992380156324015,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Escherichia_coli","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.514453861706448,,0.955354039673824,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Lactobacillus_fermentum","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.999999999999996,,0.999999999999996,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Listeria_monocytogenes","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.28333084176978,,0.955354039673824,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Pseudomonas_aeruginosa","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.0616688584830934,,0.339178721657014,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Salmonella_enterica","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.496994166878818,,0.955354039673824,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Staphylococcus_aureus","Structural targets","ZINQ abundance","abundance",TRUE,"available",0.0575473990931763,,0.339178721657014,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Allobacillus_halotolerans","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.869353448730785,,0.992380156324015,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Imtechella_halotolerans","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.850089409321125,,0.992380156324015,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"1000",1000,1000,"Truepera_radiovictrix","Abundance targets","ZINQ abundance","abundance",TRUE,"available",0.902163778476378,,0.992380156324015,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"750",750,750,"Bacillus_subtilis","Structural targets","DASRA structural absence","structural absence",TRUE,"available",1,1.57009245868376e-16,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"750",750,750,"Enterococcus_faecalis","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.721128626751067,0.356950815632168,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"750",750,750,"Escherichia_coli","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.465931795399583,0.729114222477814,1,FALSE,"1;2;3;4;13;14;15;16"
"null",1,"750",750,750,"Lactobacillus_fermentum","Structural targets","DASRA structural absence","structural absence",TRUE,"available",0.452653102768349,0.750999257286887,1,FALSE,"1;2;3;4;13;14;15;16"
